lon,lat,ROUTE_NUMBER,DELAY,Current_Stop,From,Destination,Direction,Current_Time,Current_Day,Current_Hour,Current_Minutes,Current_Seconds
20.56151,48.95041,Os 7816 ,540,Spišská Nová Ves,Košice,Poprad-Tatry,9,1614948433511,5,13,47,13
20.471821,49.184593,Os 8320 ,-60,Spišská Belá zastávka,Stará Ľubovňa,Poprad-Tatry,22,1614948553547,5,13,49,13
21.6674,48.40282,Os 8813 ,480,Slovenské Nové Mesto,Košice,Čierna nad Tisou,8,1614940031271,5,11,27,11
21.82483,48.86766,REX 1908 ,0,Strážske,Humenné,Košice,10,1614940841728,5,11,40,41
21.249126,48.983379,Os 8515 ,-60,Prešov,Lipany,Košice,18,1614940902637,5,11,41,42
21.01324,48.89469,Os 7814 ,300,Margecany,Košice,Poprad-Tatry,9,1614942026963,5,12,0,26
21.75188,48.85705,Os 9116 ,0,Nižný Hrabovec,Humenné,Prešov,3,1614942026963,5,12,0,26
21.75188,48.85705,Os 9116 ,0,Nižný Hrabovec,Humenné,Prešov,3,1614942041950,5,12,0,41
21.91384,48.39032,Os 8861 ,0,Veľký Horeš,Čierna nad Tisou,Košice,25,1614943287314,5,12,21,27
21.56926,48.98993,Os 9116 ,0,Čierne nad Topľou,Humenné,Prešov,3,1614943782465,5,12,29,42
21.990302,48.933803,Os 9419 ,0,Kamenica nad Cirochou,Humenné,Stakčín,6,1614945042817,5,12,50,42
20.81501,48.81167,Os 7419 ,0,Mníšek nad Hnilcom,Nálepkovo,Margecany,7,1614945507920,5,12,58,27
21.6262,48.52172,Os 8861 ,300,Michaľany,Čierna nad Tisou,Košice,25,1614945582966,5,12,59,42
20.81501,48.81167,Os 7450 ,240,Mníšek nad Hnilcom,Margecany,Mlynky,24,1614946063025,5,13,7,43
21.0886,49.10324,Os 8519 ,0,Sabinov,Lipany,Košice,18,1614946813122,5,13,20,13
21.24601,48.7958,Os 7818 ,300,Kostoľany nad Hornádom,Košice,Poprad-Tatry,9,1614947563316,5,13,32,43
21.20295,49.04477,Os 8519 ,0,Veľký Šariš,Lipany,Košice,18,1614947563316,5,13,32,43
21.28301,49.29661,Os 9217 ,420,Bardejov,Prešov,Bardejov,4,1614948178491,5,13,42,58
21.249126,48.983379,Os 8519 ,240,Prešov,Lipany,Košice,18,1614948388568,5,13,46,28
21.90506,49.26186,Os 8919 ,0,Medzilaborce,Humenné,Medzilaborce mesto,13,1614948508564,5,13,48,28
20.471821,49.184593,Os 8320 ,-60,Spišská Belá zastávka,Stará Ľubovňa,Poprad-Tatry,22,1614948568588,5,13,49,28
20.51402,48.63529,R 811 GEMERAN,720,Rožňava,Bratislava hlavná stanica,Košice,20,1614948823564,5,13,53,43
22.172956,48.983733,Os 9415 ,0,Snina,Humenné,Stakčín,6,1614939701021,5,11,21,41
20.471821,49.184593,Os 8316 ,180,Spišská Belá zastávka,Stará Ľubovňa,Poprad-Tatry,22,1614941591875,5,11,53,11
21.75188,48.85705,Os 9115 ,0,Nižný Hrabovec,Prešov,Humenné,12,1614941876918,5,11,57,56
21.82483,48.86766,Os 9115 ,0,Strážske,Prešov,Humenné,12,1614942673463,5,12,11,13
21.20295,49.04477,Os 8517 ,120,Veľký Šariš,Lipany,Košice,18,1614944112461,5,12,35,12
21.20295,49.04477,Os 8517 ,120,Veľký Šariš,Lipany,Košice,18,1614944142485,5,12,35,42
21.22393,48.85288,Os 8516 ,420,Kysak,Košice,Lipany,21,1614945643044,5,13,0,43
21.249126,48.983379,Os 8516 ,360,Prešov,Košice,Lipany,21,1614946963125,5,13,22,43
